missing_value,normalization,fselection,outlier,whitespace,punctuation,stopword,deduplication,model,utility_rmse
1,2,1,4,1,1,1,1,1,190.79986879075548
1,2,1,4,1,1,1,2,1,280.3775254793283
1,2,1,4,1,1,2,1,1,190.79986879075548
1,2,1,4,1,1,2,2,1,280.3775254793283
1,2,1,4,1,2,1,1,1,190.79986879075548
1,2,1,4,1,2,1,2,1,280.3775254793283
1,2,1,4,1,2,2,1,1,190.79986879075548
1,2,1,4,1,2,2,2,1,280.3775254793283
1,2,1,4,2,1,1,1,1,190.79986879075548
1,2,1,4,2,1,1,2,1,280.3775254793283
1,2,1,4,2,1,2,1,1,190.79986879075548
1,2,1,4,2,1,2,2,1,280.3775254793283
1,2,1,4,2,2,1,1,1,190.79986879075548
1,2,1,4,2,2,1,2,1,280.3775254793283
1,2,1,4,2,2,2,1,1,190.79986879075548
1,2,1,4,2,2,2,2,1,280.3775254793283
1,2,1,5,1,1,1,1,1,177.61218828132095
1,2,1,5,1,1,1,2,1,281.1771461968414
1,2,1,5,1,1,2,1,1,177.61218828132095
1,2,1,5,1,1,2,2,1,281.1771461968414
1,2,1,5,1,2,1,1,1,177.61218828132095
1,2,1,5,1,2,1,2,1,281.1771461968414
1,2,1,5,1,2,2,1,1,177.61218828132095
1,2,1,5,1,2,2,2,1,281.1771461968414
1,2,1,5,2,1,1,1,1,177.61218828132095
1,2,1,5,2,1,1,2,1,281.1771461968414
1,2,1,5,2,1,2,1,1,177.61218828132095
1,2,1,5,2,1,2,2,1,281.1771461968414
1,2,1,5,2,2,1,1,1,177.61218828132095
1,2,1,5,2,2,1,2,1,281.1771461968414
1,2,1,5,2,2,2,1,1,177.61218828132095
1,2,1,5,2,2,2,2,1,281.1771461968414
1,2,1,6,1,1,1,1,1,171.07618076754864
1,2,1,6,1,1,1,2,1,257.8659473676309
1,2,1,6,1,1,2,1,1,171.07618076754864
1,2,1,6,1,1,2,2,1,257.8659473676309
1,2,1,6,1,2,1,1,1,171.07618076754864
1,2,1,6,1,2,1,2,1,257.8659473676309
1,2,1,6,1,2,2,1,1,171.07618076754864
1,2,1,6,1,2,2,2,1,257.8659473676309
1,2,1,6,2,1,1,1,1,171.07618076754864
1,2,1,6,2,1,1,2,1,257.8659473676309
1,2,1,6,2,1,2,1,1,171.07618076754864
1,2,1,6,2,1,2,2,1,257.8659473676309
1,2,1,6,2,2,1,1,1,171.07618076754864
1,2,1,6,2,2,1,2,1,257.8659473676309
1,2,1,6,2,2,2,1,1,171.07618076754864
1,2,1,6,2,2,2,2,1,257.8659473676309
1,2,1,7,1,1,1,1,1,170.32549825139142
1,2,1,7,1,1,1,2,1,255.9612611164535
1,2,1,7,1,1,2,1,1,170.32549825139142
1,2,1,7,1,1,2,2,1,255.9612611164535
1,2,1,7,1,2,1,1,1,170.32549825139142
1,2,1,7,1,2,1,2,1,255.9612611164535
1,2,1,7,1,2,2,1,1,170.32549825139142
1,2,1,7,1,2,2,2,1,255.9612611164535
1,2,1,7,2,1,1,1,1,170.32549825139142
1,2,1,7,2,1,1,2,1,255.9612611164535
1,2,1,7,2,1,2,1,1,170.32549825139142
1,2,1,7,2,1,2,2,1,255.9612611164535
1,2,1,7,2,2,1,1,1,170.32549825139142
1,2,1,7,2,2,1,2,1,255.9612611164535
1,2,1,7,2,2,2,1,1,170.32549825139142
1,2,1,7,2,2,2,2,1,255.9612611164535
1,2,1,8,1,1,1,1,1,169.1939251927869
1,2,1,8,1,1,1,2,1,255.8900627869473
1,2,1,8,1,1,2,1,1,169.1939251927869
1,2,1,8,1,1,2,2,1,255.8900627869473
1,2,1,8,1,2,1,1,1,169.1939251927869
1,2,1,8,1,2,1,2,1,255.8900627869473
1,2,1,8,1,2,2,1,1,169.1939251927869
1,2,1,8,1,2,2,2,1,255.8900627869473
1,2,1,8,2,1,1,1,1,169.1939251927869
1,2,1,8,2,1,1,2,1,255.8900627869473
1,2,1,8,2,1,2,1,1,169.1939251927869
1,2,1,8,2,1,2,2,1,255.8900627869473
1,2,1,8,2,2,1,1,1,169.1939251927869
1,2,1,8,2,2,1,2,1,255.8900627869473
1,2,1,8,2,2,2,1,1,169.1939251927869
1,2,1,8,2,2,2,2,1,255.8900627869473
1,3,1,1,1,1,1,1,1,188.79983416185624
1,3,1,1,1,1,1,2,1,282.4841684920953
1,3,1,1,1,1,2,1,1,188.79983416185624
1,3,1,1,1,1,2,2,1,282.4841684920953
1,3,1,1,1,2,1,1,1,188.79983416185624
1,3,1,1,1,2,1,2,1,282.4841684920953
1,3,1,1,1,2,2,1,1,188.79983416185624
1,3,1,1,1,2,2,2,1,282.4841684920953
1,3,1,1,2,1,1,1,1,188.79983416185624
1,3,1,1,2,1,1,2,1,282.4841684920953
1,3,1,1,2,1,2,1,1,188.79983416185624
1,3,1,1,2,1,2,2,1,282.4841684920953
1,3,1,1,2,2,1,1,1,188.79983416185624
1,3,1,1,2,2,1,2,1,282.4841684920953
1,3,1,1,2,2,2,1,1,188.79983416185624
1,3,1,1,2,2,2,2,1,282.4841684920953
1,3,1,2,1,1,1,1,1,155.5133505394992
1,3,1,2,1,1,1,2,1,236.807770574814
1,3,1,2,1,1,2,1,1,155.5133505394992
1,3,1,2,1,1,2,2,1,236.807770574814
1,3,1,2,1,2,1,1,1,155.5133505394992
1,3,1,2,1,2,1,2,1,236.807770574814
