missing_value,normalization,outlier,whitespace,punctuation,stopword,deduplication,model,utility_accuracy_score
1,4,1,2,2,1,2,1,0.09677419354838712
1,4,1,2,2,2,1,1,0.09486780715396581
1,4,1,2,2,2,2,1,0.09677419354838712
1,4,2,1,1,1,1,1,0.060194174757281504
1,4,2,1,1,1,2,1,0.056140350877192935
1,4,2,1,1,2,1,1,0.060194174757281504
1,4,2,1,1,2,2,1,0.056140350877192935
1,4,2,1,2,1,1,1,0.060194174757281504
1,4,2,1,2,1,2,1,0.056140350877192935
1,4,2,1,2,2,1,1,0.060194174757281504
1,4,2,1,2,2,2,1,0.056140350877192935
1,4,2,2,1,1,1,1,0.060194174757281504
1,4,2,2,1,1,2,1,0.056140350877192935
1,4,2,2,1,2,1,1,0.060194174757281504
1,4,2,2,1,2,2,1,0.056140350877192935
1,4,2,2,2,1,1,1,0.060194174757281504
1,4,2,2,2,1,2,1,0.056140350877192935
1,4,2,2,2,2,1,1,0.060194174757281504
1,4,2,2,2,2,2,1,0.056140350877192935
1,4,3,1,1,1,1,1,0.07986688851913482
1,4,3,1,1,1,2,1,0.08446866485013627
1,4,3,1,1,2,1,1,0.07986688851913482
1,4,3,1,1,2,2,1,0.08446866485013627
1,4,3,1,2,1,1,1,0.07986688851913482
1,4,3,1,2,1,2,1,0.08446866485013627
1,4,3,1,2,2,1,1,0.07986688851913482
1,4,3,1,2,2,2,1,0.08446866485013627
1,4,3,2,1,1,1,1,0.07986688851913482
1,4,3,2,1,1,2,1,0.08446866485013627
1,4,3,2,1,2,1,1,0.07986688851913482
1,4,3,2,1,2,2,1,0.08446866485013627
1,4,3,2,2,1,1,1,0.07986688851913482
1,4,3,2,2,1,2,1,0.08446866485013627
1,4,3,2,2,2,1,1,0.07986688851913482
1,4,3,2,2,2,2,1,0.08446866485013627
1,4,4,1,1,1,1,1,0.08949416342412453
1,4,4,1,1,1,2,1,0.1058394160583942
1,4,4,1,1,2,1,1,0.08949416342412453
1,4,4,1,1,2,2,1,0.1058394160583942
1,4,4,1,2,1,1,1,0.08949416342412453
1,4,4,1,2,1,2,1,0.1058394160583942
1,4,4,1,2,2,1,1,0.08949416342412453
1,4,4,1,2,2,2,1,0.1058394160583942
1,4,4,2,1,1,1,1,0.08949416342412453
1,4,4,2,1,1,2,1,0.1058394160583942
1,4,4,2,1,2,1,1,0.08949416342412453
1,4,4,2,1,2,2,1,0.1058394160583942
1,4,4,2,2,1,1,1,0.08949416342412453
1,4,4,2,2,1,2,1,0.1058394160583942
1,4,4,2,2,2,1,1,0.08949416342412453
1,4,4,2,2,2,2,1,0.1058394160583942
1,4,5,1,1,1,1,1,0.08171206225680938
1,4,5,1,1,1,2,1,0.09030100334448166
1,4,5,1,1,2,1,1,0.08171206225680938
1,4,5,1,1,2,2,1,0.09030100334448166
1,4,5,1,2,1,1,1,0.08171206225680938
1,4,5,1,2,1,2,1,0.09030100334448166
1,4,5,1,2,2,1,1,0.08171206225680938
1,4,5,1,2,2,2,1,0.09030100334448166
1,4,5,2,1,1,1,1,0.08171206225680938
1,4,5,2,1,1,2,1,0.09030100334448166
1,4,5,2,1,2,1,1,0.08171206225680938
1,4,5,2,1,2,2,1,0.09030100334448166
1,4,5,2,2,1,1,1,0.08171206225680938
1,4,5,2,2,1,2,1,0.09030100334448166
1,4,5,2,2,2,1,1,0.08171206225680938
1,4,5,2,2,2,2,1,0.09030100334448166
1,4,6,1,1,1,1,1,0.08171206225680938
1,4,6,1,1,1,2,1,0.09246575342465757
1,4,6,1,1,2,1,1,0.08171206225680938
1,4,6,1,1,2,2,1,0.09246575342465757
1,4,6,1,2,1,1,1,0.08171206225680938
1,4,6,1,2,1,2,1,0.09246575342465757
1,4,6,1,2,2,1,1,0.08171206225680938
1,4,6,1,2,2,2,1,0.09246575342465757
1,4,6,2,1,1,1,1,0.08171206225680938
1,4,6,2,1,1,2,1,0.09246575342465757
1,4,6,2,1,2,1,1,0.08171206225680938
