missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
4,3,3,1,0.14062020264046668,0.14062020264046668,0.19513,2.21922,0.04182518778655744,3.3934426229508197,142.36,0.31,0.0,1.0,105.89,0.34,80.68,0.42,10.74,0.17,210.6,0.21,121.45,0.48,228.75,0.29,0.0,1.0,48.62,0.31,315.61,1.0,315.61,1.0,4.58,0.24,0.0,1.0,0.15637559074636206
4,3,4,1,0.14062020264046668,0.14062020264046668,0.2028,1.96487,0.045348890191327436,3.0904684975767367,132.98,0.39,79.5,0.31,97.95,0.27,319.58,0.51,135.04,0.29,478.97,0.2,378.81,0.42,517.3,0.34,36.11,0.15,124.93,0.34,52.85,0.08,102.94,0.04,20.91,0.29,51.86,0.09,0.17949605446430317
4,3,5,1,0.14062020264046668,0.14062020264046668,0.19971,2.06653,0.04390272171465124,3.184357541899441,163.75,0.47,88.18,0.31,104.46,0.3,382.15,0.28,156.4,0.28,561.17,0.2,447.68,0.43,617.2,0.34,30.95,0.14,143.29,0.33,55.15,0.07,93.57,0.03,26.69,0.29,48.59,0.09,0.16275627191628356
4,3,6,1,0.14062020264046668,0.14062020264046668,0.19428,2.075,0.042647222178142444,3.2355371900826446,169.74,0.45,88.88,0.31,99.98,0.3,381.25,0.28,158.62,0.28,585.71,0.2,443.25,0.43,644.19,0.34,31.43,0.14,140.14,0.33,52.78,0.07,102.54,0.03,26.59,0.3,51.73,0.09,0.16110843373493974
4,3,7,1,0.14062020264046668,0.14062020264046668,0.19364,2.05731,0.04263354226268584,3.327272727272727,162.5,0.44,89.7,0.32,98.47,0.33,369.25,0.28,163.71,0.28,632.01,0.2,437.32,0.43,685.93,0.34,27.99,0.14,142.61,0.33,48.2,0.07,97.18,0.03,31.02,0.3,54.51,0.09,0.17976975620128108
4,3,8,1,0.14062020264046668,0.14062020264046668,0.19262,2.06713,0.04234026110162738,3.3946251768033946,154.57,0.48,88.62,0.31,94.49,0.34,358.93,0.28,169.88,0.28,634.87,0.19,435.91,0.43,684.04,0.34,33.59,0.14,143.02,0.33,150.7,0.07,104.66,0.03,31.61,0.33,55.25,0.09,0.16274345636618892
4,4,1,1,0.14062020264046668,0.14062020264046668,0.19398,2.06975,0.04261884627251522,3.1810012836970474,548.06,0.43,103.98,0.32,76.59,0.27,412.33,0.29,2388.74,0.29,595.93,0.2,467.45,0.43,656.42,0.34,34.52,0.15,146.86,0.33,894.0,0.09,685.82,0.04,472.75,0.31,58.36,0.1,0.1651524749823602
4,4,2,1,0.14062020264046668,0.14062020264046668,0.22421,2.62309,0.04482060671460716,3.1153238546603474,374.76,0.43,79.69,0.28,76.47,0.3,295.17,0.24,2001.42,0.24,499.21,0.16,362.67,0.42,546.55,0.3,16.86,0.08,141.04,0.28,798.56,0.07,669.38,0.02,388.32,0.31,32.84,0.03,0.18054488309290181
4,4,3,1,0.14062020264046668,0.14062020264046668,0.19513,2.21922,0.04182518778655744,3.3934426229508197,170.91,0.31,0.0,1.0,27.35,0.34,80.68,0.42,1032.52,0.17,210.6,0.21,121.45,0.48,228.75,0.29,0.0,1.0,48.62,0.31,315.61,1.0,315.61,1.0,213.2,0.24,0.0,1.0,0.09201623815967523
4,4,4,1,0.14062020264046668,0.14062020264046668,0.20454,2.015,0.045359405103612346,3.1160409556313993,389.89,0.43,74.89,0.31,67.99,0.31,304.44,0.28,1724.53,0.28,475.01,0.19,340.34,0.42,510.0,0.33,25.56,0.15,120.51,0.33,676.83,0.08,526.26,0.04,329.43,0.29,50.22,0.09,0.17915942928039702
