missing_value,normalization,outlier,out_before_out_strat,out_before_norm_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,fairness
2,1,11,0.4961089494163424,0.4961089494163424,0.65214,38.18947,30.0,0.07016,30.0,14.9567,30.0,1.32764,30.0,4.54606,30.0,15.83956,30.0,20.91564,30.0,9.87649,30.0,0.06837131739855473
2,2,1,0.4964980544747082,0.4961089494163424,0.89844,53.79062,0.0,0.82577,0.0,8.58089,0.0,2.73579,0.0,26.60844,0.0,22.06241,0.0,356.61104,0.0,82.63362,0.0,0.10038910505836574
2,2,2,0.4964980544747082,0.4961089494163424,0.65136,34.03573,30.0,0.47839,30.0,5.29391,30.0,0.2305,30.0,9.7417,30.0,11.98619,30.0,169.07408,30.0,10.61263,30.0,0.06948304613674261
2,2,3,0.4964980544747082,0.4961089494163424,0.76887,35.31143,16.4202,1.11153,16.4202,8.68781,16.4202,5.1714,16.4202,19.27698,16.4202,15.13531,16.4202,191.20294,16.4202,34.29735,16.4202,0.08007448789571692
2,2,4,0.4964980544747082,0.4961089494163424,0.64125,37.6863,30.0,1.47913,30.0,8.81655,30.0,0.97296,30.0,16.19311,30.0,21.03612,30.0,150.83891,30.0,46.30729,30.0,0.08393551973318514
2,2,5,0.4964980544747082,0.4961089494163424,0.64747,42.50025,30.0,0.00311,30.0,12.9069,30.0,5.36738,30.0,3.55017,30.0,17.38885,30.0,57.20802,30.0,16.49813,30.0,0.075041689827682
2,2,6,0.4964980544747082,0.4961089494163424,0.64708,48.92029,30.0,0.0,30.0,10.04711,30.0,6.48913,30.0,0.43746,30.0,21.97264,30.0,72.493,30.0,25.1771,30.0,0.07559755419677594
2,2,7,0.4964980544747082,0.4961089494163424,0.64825,48.08867,30.0,0.04533,30.0,12.51785,30.0,4.66381,30.0,0.58075,30.0,20.64616,30.0,83.54367,30.0,22.63356,30.0,0.07392996108949412
2,2,8,0.4964980544747082,0.4961089494163424,0.64514,38.95871,30.0,0.00259,30.0,18.46085,30.0,3.50223,30.0,4.75466,30.0,17.98921,30.0,92.20812,30.0,20.53692,30.0,0.07837687604224575
2,2,9,0.4964980544747082,0.4961089494163424,0.64553,62.96177,29.9222,2.03595,29.9222,39.86088,29.9222,1.15235,29.9222,3.29697,29.9222,37.845,29.9222,169.8703,29.9222,59.19351,29.9222,0.07884508606329821
2,2,10,0.4964980544747082,0.4961089494163424,0.64669,65.66039,29.9611,2.94264,29.9611,34.68698,29.9611,0.57358,29.9611,1.39485,29.9611,34.36599,29.9611,226.00403,29.9611,61.98741,29.9611,0.07666666666666666
2,2,11,0.4964980544747082,0.4961089494163424,0.64475,59.37852,30.0,2.87578,30.0,24.55643,30.0,0.0,30.0,0.69309,30.0,41.14791,30.0,229.7657,30.0,53.95996,30.0,0.07893274041133969
2,3,1,0.49961089494163424,0.4961089494163424,0.89844,53.79062,0.0,0.82577,0.0,8.58089,0.0,2.73579,0.0,26.60844,0.0,22.06241,0.0,356.61104,0.0,82.63362,0.0,0.10038910505836574
2,3,2,0.49961089494163424,0.4961089494163424,0.65136,34.03573,30.0,0.47839,30.0,5.29391,30.0,0.2305,30.0,9.7417,30.0,11.98619,30.0,169.07408,30.0,10.61263,30.0,0.06948304613674261
2,3,3,0.49961089494163424,0.4961089494163424,0.77043,37.04643,15.8755,1.62207,15.8755,10.73862,15.8755,3.29199,15.8755,22.75774,15.8755,15.27439,15.8755,208.43059,15.8755,48.76083,15.8755,0.08418131359851988
2,3,4,0.49961089494163424,0.4961089494163424,0.64319,33.40664,30.0,1.81879,30.0,6.57047,30.0,4.95156,30.0,1.792,30.0,22.10766,30.0,153.71492,30.0,72.49539,30.0,0.0806003335186215
2,3,5,0.49961089494163424,0.4961089494163424,0.64397,38.61871,30.0,1.51031,30.0,9.38089,30.0,4.69137,30.0,0.2293,30.0,19.67268,30.0,135.16243,30.0,51.37287,30.0,0.08004446914952756
2,3,6,0.49961089494163424,0.4961089494163424,0.63619,33.33659,30.0,0.0421,30.0,9.91632,30.0,2.28663,30.0,0.68961,30.0,14.2631,30.0,160.10039,30.0,51.5966,30.0,0.09116175653140635
2,3,7,0.49961089494163424,0.4961089494163424,0.64436,40.85723,29.7665,0.65987,29.7665,10.11898,29.7665,7.96877,29.7665,1.73007,29.7665,11.19287,29.7665,128.11108,29.7665,29.5963,29.7665,0.08254847645429364
2,3,8,0.49961089494163424,0.4961089494163424,0.64436,35.71361,30.0,0.08838,30.0,11.10723,30.0,5.49822,30.0,0.91476,30.0,11.74213,30.0,148.91654,30.0,20.72313,30.0,0.07948860478043362
2,3,9,0.49961089494163424,0.4961089494163424,0.65019,45.93736,30.0,1.77034,30.0,22.25763,30.0,0.09867,30.0,2.33264,30.0,23.7235,30.0,184.5899,30.0,33.16468,30.0,0.07115063924402443
2,3,10,0.49961089494163424,0.4961089494163424,0.64864,48.56394,30.0,3.51501,30.0,19.16931,30.0,0.00562,30.0,1.87469,30.0,26.52222,30.0,203.65443,30.0,44.14845,30.0,0.07337409672040018
2,3,11,0.49961089494163424,0.4961089494163424,0.64864,46.8373,30.0,1.46046,30.0,20.57633,30.0,0.71224,30.0,11.42576,30.0,22.52942,30.0,199.96439,30.0,16.70286,30.0,0.07337409672040018
2,4,1,0.5046692607003891,0.4961089494163424,0.89844,53.79062,0.0,0.82577,0.0,8.58089,0.0,2.73579,0.0,26.60844,0.0,22.06241,0.0,356.61104,0.0,82.63362,0.0,0.10116731517509725
