sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2,4,6,3,2,2,2,5,4,2,1,1,1,1,0.5239948119325551,0.45395590142671854,10.061224489795919,98.52,0.32,174.65,0.02,994.59,0.24,598.43,0.33,5443.12,0.01,392.73,0.49,646.64,0.3,667.74,0.23,0.09040590405904059
3,3,5,2,2,2,1,2,8,2,1,2,2,1,0.3424124513618677,0.3424124513618677,7.372093023255814,278.63,0.37,535.07,1.0,174.44,0.28,252.98,0.36,2399.83,1.0,178.94,0.51,222.52,0.53,374.77,0.09,0.11111111111111116
2,3,2,1,1,4,1,2,8,2,1,1,2,1,0.251621271076524,0.251621271076524,9.18867924528302,352.21,0.32,257.42,0.07,444.74,0.25,284.61,1.0,522.08,0.04,527.0,0.45,361.32,0.21,640.37,0.1,0.0981481481481481
3,4,9,3,1,1,2,4,4,1,2,1,1,1,0.3521400778210117,0.3521400778210117,8.0,60.22,0.34,86.66,0.42,564.91,0.24,311.42,0.36,519.14,0.02,117.2,0.36,341.67,0.34,251.98,0.14,0.11111111111111116
4,2,3,1,1,4,1,2,2,1,2,1,2,1,0.3706896551724138,0.3706896551724138,9.778761061946902,828.14,1.0,855.79,1.0,2216.86,0.24,1645.04,0.23,15351.34,1.0,1184.41,0.43,1001.42,0.37,1318.92,0.21,0.09277504105090317
2,3,1,2,1,1,1,3,4,2,2,2,1,1,0.2490272373540856,0.2490272373540856,10.27450980392157,2954.73,0.35,21.27,0.04,492.93,0.26,587.69,0.35,21.87,0.04,1885.44,0.31,26.93,0.17,24.11,0.1,0.08869565217391306
3,4,8,2,2,4,1,5,6,2,2,2,2,1,0.3093385214007782,0.3093385214007782,9.285714285714286,72.76,0.35,85.73,0.4,1346.04,0.2,322.45,0.37,3324.93,0.01,26.05,0.55,331.0,0.29,72.98,0.28,0.09722222222222221
4,2,6,3,2,2,1,4,8,2,1,2,2,1,0.5936781609195402,0.5936781609195402,8.82258064516129,620.67,1.0,403.59,0.44,99.58,0.3,983.69,0.38,137.94,1.0,841.36,0.47,960.11,0.29,1298.7,0.09,0.1018062397372742
1,1,2,4,2,3,2,3,8,1,1,1,2,1,0.26108949416342414,0.26108949416342414,11.942446043165468,9683.11,0.34,273.8,0.44,10887.46,0.22,2169.55,0.33,821.56,0.07,6015.76,0.31,112.88,0.17,114.86,0.12,0.07726514730405776
3,3,9,1,2,1,2,4,7,1,2,2,1,1,0.245136186770428,0.245136186770428,6.826086956521739,40.1,0.32,1673.21,0.39,519.14,0.21,230.84,1.0,2156.03,0.04,95.88,0.3,2196.44,0.18,2126.48,0.14,0.12777777777777777
3,4,5,2,1,3,2,4,6,2,2,1,2,1,0.36770428015564205,0.36770428015564205,9.588235294117647,65.23,0.33,94.68,0.39,384.63,0.21,349.52,0.35,316.58,1.0,27.36,0.37,115.57,0.52,93.11,0.24,0.09444444444444444
2,3,3,4,2,3,1,3,7,1,2,1,1,1,0.2529182879377432,0.2529182879377432,9.588235294117647,2757.02,0.37,80.32,0.05,556.41,0.27,549.72,0.34,240.35,0.06,1702.69,0.31,34.22,0.16,28.39,0.13,0.09444444444444444
3,3,4,3,2,4,2,5,4,1,1,2,2,1,0.2529182879377432,0.2529182879377432,8.121951219512194,61.27,0.34,1707.3,0.05,1090.24,0.22,322.42,0.36,14.53,0.05,23.17,0.39,19.82,0.18,12.0,0.14,0.10962566844919786
3,1,7,4,2,3,1,3,6,2,2,2,2,1,0.2509727626459144,0.25486381322957197,10.25,1817.86,0.31,39.47,0.42,1929.4,0.22,395.25,0.33,169.93,0.06,1191.85,0.55,16.95,0.16,18.91,0.13,0.0888888888888889
2,3,3,2,1,3,2,4,2,2,1,1,1,1,0.2529182879377432,0.2529182879377432,10.020408163265307,90.75,0.31,4606.64,1.0,670.04,0.21,622.57,0.32,53.78,0.01,44.59,0.48,53.15,0.42,53.77,0.24,0.09074074074074079
4,2,2,1,2,4,1,1,3,2,1,1,1,1,0.32241379310344825,0.32241379310344825,8.745222929936306,717.51,1.0,461.58,0.45,649.07,0.3,1639.01,0.32,174.84,1.0,8652.56,0.49,6643.93,0.35,2788.33,0.31,0.10261437908496729
2,1,2,1,2,2,2,2,2,1,2,2,1,1,0.36964980544747084,0.36964980544747084,13.210526315789474,346.3,0.29,641.55,0.41,874.06,0.18,649.47,0.29,2858.21,0.0,600.48,0.3,616.16,0.27,439.15,0.23,0.07037037037037042
3,3,2,3,1,1,2,3,2,1,2,2,1,1,0.245136186770428,0.245136186770428,8.72972972972973,1694.52,0.28,1804.61,0.39,791.48,0.18,464.26,0.28,2823.04,0.01,1220.23,0.37,547.91,0.55,651.48,0.29,0.10277777777777775
2,2,9,4,1,3,2,2,2,1,2,2,1,1,0.31776913099870296,0.31776913099870296,11.0,326.88,0.28,358.58,0.4,1218.17,0.18,619.91,0.29,7381.14,0.01,568.33,0.28,472.65,0.29,481.25,0.21,0.08333333333333337
1,1,4,1,1,3,2,2,5,2,2,2,2,1,0.26108949416342414,0.26108949416342414,10.24375,1393.27,0.34,1328.49,0.05,1416.81,0.24,1574.95,0.31,1433.26,0.05,1400.27,0.34,1496.78,0.17,1406.39,0.25,0.08893829905503059
2,4,1,4,1,1,1,1,4,2,2,1,1,1,0.42362204724409447,0.42362204724409447,9.10204081632653,103.58,0.36,149.61,1.0,205.53,0.26,492.59,0.34,57.26,0.01,2587.05,0.49,1719.99,0.56,986.06,0.24,0.09696969696969693
1,1,7,3,1,2,2,3,2,2,1,1,2,1,0.343579766536965,0.343579766536965,12.440298507462687,9709.44,0.25,8900.21,0.39,22388.0,0.15,3137.88,0.25,3765.98,0.02,7383.83,0.31,2507.92,0.27,708.6,0.24,0.07440310938367578
3,1,8,1,2,2,2,5,7,2,2,1,2,1,0.3424124513618677,0.3424124513618677,9.285714285714286,90.66,0.38,1103.98,1.0,530.98,0.27,326.57,0.36,964.4,0.01,186.18,0.5,504.85,0.26,404.8,0.07,0.09722222222222221
2,3,3,3,1,3,1,2,2,2,1,1,1,1,0.2529182879377432,0.2529182879377432,10.020408163265307,356.04,0.31,5003.96,1.0,978.38,0.21,500.14,0.32,3034.74,0.01,518.63,0.48,3063.01,0.42,3091.74,0.24,0.09074074074074079
1,4,4,1,1,1,2,3,2,2,2,1,2,1,0.4171206225680934,0.4171206225680934,13.991666666666667,10109.53,0.24,10232.26,0.35,5148.51,0.17,3377.37,0.25,25157.02,1.0,7414.11,0.28,4652.82,0.53,668.58,0.19,0.06670372429127291
3,1,8,2,1,3,2,4,3,1,2,1,2,1,0.2509727626459144,0.25486381322957197,7.529411764705882,14.04,0.23,1832.11,0.37,409.1,1.0,270.73,0.33,38.38,1.0,19.7,0.61,37.99,0.52,38.37,0.26,0.11724137931034484
