missing_value,normalization,outlier,model,utility_accuracy_score
8,2,7,1,0.17583249243188703
8,3,1,1,0.1781217369940421
8,3,2,1,0.18272552783109408
8,3,3,1,0.17437379576107903
8,3,4,1,0.1759699129057799
8,3,5,1,0.173502393582611
8,3,6,1,0.1772963271585155
8,3,7,1,0.17487668951380442
8,4,1,1,0.1779374731281862
8,4,2,1,0.18441458733205374
8,4,3,1,0.1787643484132343
8,4,4,1,0.1857303055789179
8,4,5,1,0.1849544801149976
8,4,6,1,0.18269488347173857
8,4,7,1,0.18145800316957206
8,5,1,1,0.1781217369940421
8,5,2,1,0.18418426103646834
8,5,3,1,0.17803954564577196
8,5,4,1,0.1849219620958752
8,5,5,1,0.1849561731331114
8,5,6,1,0.1818060912355366
8,5,7,1,0.180544593528019
9,1,1,1,0.21067501996191884
9,1,2,1,0.21381957773512472
9,1,3,1,0.21363526472721417
9,1,4,1,0.21109562678346272
9,1,5,1,0.20874738493723854
9,1,6,1,0.20541518664968839
9,1,7,1,0.20467599162105543
9,2,1,1,0.17486640869725445
9,2,2,1,0.17942418426103646
9,2,3,1,0.1735992864672018
9,2,4,1,0.17819898996523909
9,2,5,1,0.17711799334527767
9,2,6,1,0.17626217891939766
9,2,7,1,0.17583249243188703
9,3,1,1,0.1781217369940421
9,3,2,1,0.18272552783109408
9,3,3,1,0.17437379576107903
9,3,4,1,0.1759699129057799
9,3,5,1,0.173502393582611
9,3,6,1,0.1772963271585155
9,3,7,1,0.17487668951380442
9,4,1,1,0.1779374731281862
9,4,2,1,0.18441458733205374
9,4,3,1,0.1787643484132343
9,4,4,1,0.1857303055789179
9,4,5,1,0.1849544801149976
9,4,6,1,0.18269488347173857
9,4,7,1,0.18145800316957206
9,5,1,1,0.1781217369940421
9,5,2,1,0.18418426103646834
9,5,3,1,0.17803954564577196
9,5,4,1,0.1849219620958752
9,5,5,1,0.1849561731331114
9,5,6,1,0.1818060912355366
9,5,7,1,0.180544593528019
