missing_value,normalization,outlier,model,index_df1,index_df2,similarity
9,2,6,1,292,292,0.9995557717669141
9,2,7,1,293,293,0.9994863876068227
9,3,1,1,294,294,0.9925413027309739
9,3,2,1,295,295,0.9865775590599423
9,3,3,1,296,296,0.9894801857533728
9,3,4,1,297,297,0.9897763773199137
9,3,5,1,298,298,0.990025648926173
9,3,6,1,299,299,0.9902933661114441
9,3,7,1,300,300,0.9909834881337352
9,4,1,1,301,301,0.8778954979868402
9,4,2,1,302,302,0.8523299760128187
9,4,3,1,303,303,0.8756013674329235
9,4,4,1,304,304,0.8842932004039928
9,4,5,1,305,305,0.8849104480726735
9,4,6,1,306,306,0.8812114850375401
9,4,7,1,307,307,0.8794014742904519
9,5,1,1,308,308,0.8751650875690201
9,5,2,1,309,309,0.8492878480241245
9,5,3,1,310,310,0.8761756468271291
9,5,4,1,311,311,0.8839695339847153
9,5,5,1,312,312,0.8842136797987591
9,5,6,1,313,313,0.8804872348023504
9,5,7,1,314,314,0.8776896808341128
