missing_value,normalization,model,index_df1,index_df2,similarity
6,5,1,29,208,0.4407466079842498
6,5,1,29,209,0.43929205251177117
7,1,1,30,210,0.6228325956273649
7,1,1,30,211,0.6449363964742759
7,1,1,30,212,0.6576434630858597
7,1,1,30,213,0.6310295499944321
7,1,1,30,214,0.6247797290236049
7,1,1,30,215,0.6224948693073812
7,1,1,30,216,0.6222585012107498
7,2,1,31,217,0.8234123694065482
7,2,1,31,218,0.8280592981406774
7,2,1,31,219,0.8244797139911478
7,2,1,31,220,0.8229091950507313
7,2,1,31,221,0.8258135641872354
7,2,1,31,222,0.8272468053294058
7,2,1,31,223,0.8287134092053813
7,3,1,32,224,0.30571046467495905
7,3,1,32,225,0.3130367145989206
7,3,1,32,226,0.2979738399301318
7,3,1,32,227,0.3061160374780189
7,3,1,32,228,0.3063819960248311
7,3,1,32,229,0.30453120994063615
7,3,1,32,230,0.30656712228205535
7,4,1,33,231,0.5826791129561668
7,4,1,33,232,0.5615039538029504
7,4,1,33,233,0.5836959871979522
7,4,1,33,234,0.5839718659439815
7,4,1,33,235,0.5849784372757448
7,4,1,33,236,0.5846888319459169
7,4,1,33,237,0.5837116158229337
7,5,1,34,238,0.5321628789745088
7,5,1,34,239,0.5077025264255571
7,5,1,34,240,0.534878521355556
7,5,1,34,241,0.5452973430775463
7,5,1,34,242,0.5457601094508849
7,5,1,34,243,0.5391412973439025
7,5,1,34,244,0.5367124740630785
8,1,1,35,245,0.6234285440073708
8,1,1,35,246,0.6451385821129259
8,1,1,35,247,0.6580488001290395
8,1,1,35,248,0.6315694298573923
8,1,1,35,249,0.6252946994029445
8,1,1,35,250,0.6230590580202439
8,1,1,35,251,0.6228116862871014
8,2,1,36,252,0.8234123694065482
8,2,1,36,253,0.8280592981406774
8,2,1,36,254,0.8244797139911478
8,2,1,36,255,0.8229091950507313
8,2,1,36,256,0.8258135641872354
8,2,1,36,257,0.8272468053294058
8,2,1,36,258,0.8287134092053813
8,3,1,37,259,0.30710284485477946
8,3,1,37,260,0.31237403404244446
8,3,1,37,261,0.29961599908578945
8,3,1,37,262,0.3075472894872539
8,3,1,37,263,0.3075671765538314
8,3,1,37,264,0.30561324652046923
8,3,1,37,265,0.3075807082878294
8,4,1,38,266,0.513449003264439
8,4,1,38,267,0.4946652634167616
8,4,1,38,268,0.516332376675877
8,4,1,38,269,0.5265113677703912
8,4,1,38,270,0.5236730793896186
8,4,1,38,271,0.5193448527039974
