2025-10-12 11:05:54,204 - DEBUG - [GridSearch] iter=16 | order=['deduplication', 'stopword', 'punctuation', 'missing_value', 'model'] | vec=[1, 1, 2, 6, 1] | utility=188.80
2025-10-12 11:05:54,315 - DEBUG - [GridSearch] iter=17 | order=['stopword', 'punctuation', 'whitespace', 'missing_value', 'normalization', 'model'] | vec=[2, 2, 2, 8, 2, 1] | utility=188.80
2025-10-12 11:05:54,399 - DEBUG - [GridSearch] iter=18 | order=['outlier', 'deduplication', 'model'] | vec=[5, 2, 1] | utility=274.36
2025-10-12 11:05:54,403 - DEBUG - [GridSearch] iter=19 | order=['stopword', 'model'] | vec=[2, 1] | utility=188.80
2025-10-12 11:05:54,494 - DEBUG - [GridSearch] iter=20 | order=['deduplication', 'punctuation', 'missing_value', 'whitespace', 'stopword', 'outlier', 'model'] | vec=[1, 1, 1, 2, 2, 4, 1] | utility=183.19
2025-10-12 11:05:54,667 - DEBUG - [GridSearch] iter=21 | order=['outlier', 'deduplication', 'whitespace', 'missing_value', 'punctuation', 'stopword', 'normalization', 'model'] | vec=[1, 2, 2, 1, 2, 2, 1, 1] | utility=282.48
2025-10-12 11:05:54,685 - DEBUG - [GridSearch] iter=22 | order=['whitespace', 'missing_value', 'deduplication', 'model'] | vec=[2, 6, 1, 1] | utility=188.80
2025-10-12 11:05:54,691 - DEBUG - [GridSearch] iter=23 | order=['stopword', 'punctuation', 'model'] | vec=[2, 2, 1] | utility=188.80
2025-10-12 11:05:54,828 - DEBUG - [GridSearch] iter=24 | order=['whitespace', 'deduplication', 'outlier', 'model'] | vec=[2, 1, 2, 1] | utility=155.51
2025-10-12 11:05:54,829 - INFO - [GridSearch] Start (random). Target utility = 156.00
2025-10-12 11:05:54,965 - DEBUG - [GridSearch] iter=1 | order=['outlier', 'deduplication', 'model'] | vec=[2, 2, 1] | utility=236.81
2025-10-12 11:05:54,984 - DEBUG - [GridSearch] iter=2 | order=['whitespace', 'missing_value', 'model'] | vec=[2, 9, 1] | utility=188.80
2025-10-12 11:05:55,155 - DEBUG - [GridSearch] iter=3 | order=['outlier', 'whitespace', 'normalization', 'stopword', 'model'] | vec=[1, 2, 2, 2, 1] | utility=188.80
2025-10-12 11:05:55,255 - DEBUG - [GridSearch] iter=4 | order=['whitespace', 'deduplication', 'missing_value', 'punctuation', 'outlier', 'model'] | vec=[1, 1, 9, 1, 4, 1] | utility=183.19
2025-10-12 11:05:55,274 - DEBUG - [GridSearch] iter=5 | order=['punctuation', 'missing_value', 'model'] | vec=[2, 5, 1] | utility=188.80
2025-10-12 11:05:55,285 - DEBUG - [GridSearch] iter=6 | order=['missing_value', 'model'] | vec=[7, 1] | utility=188.80
2025-10-12 11:05:55,295 - DEBUG - [GridSearch] iter=7 | order=['missing_value', 'whitespace', 'model'] | vec=[8, 1, 1] | utility=188.80
2025-10-12 11:05:55,503 - DEBUG - [GridSearch] iter=8 | order=['missing_value', 'normalization', 'whitespace', 'deduplication', 'punctuation', 'outlier', 'stopword', 'model'] | vec=[6, 5, 1, 2, 2, 7, 2, 1] | utility=281.43
2025-10-12 11:05:55,521 - DEBUG - [GridSearch] iter=9 | order=['model'] | vec=[1] | utility=188.80
2025-10-12 11:05:55,812 - DEBUG - [GridSearch] iter=10 | order=['outlier', 'missing_value', 'punctuation', 'model'] | vec=[1, 1, 2, 1] | utility=188.80
