,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
729,0,0.275,1,0.05,0.9,20,0.91947,20,0.91947,8,0.96247,5.0,0.92769
730,0,0.275,1,0.1625,0.9,12,0.92667,15,0.90093,8,0.96247,5.0,0.92769
731,0,0.275,1,0.275,0.9,14,0.92461,15,0.90093,8,0.96247,5.0,0.92769
732,0,0.275,1,0.3875,0.9,12,0.92667,15,0.90093,9,0.96247,5.0,0.92769
733,0,0.275,1,0.5,0.9,1,0.90834,1,0.90834,2,0.91653,5.0,0.92769
734,0,0.275,1,0.6125,0.9,1,0.94593,1,0.94593,2,0.94593,5.0,0.92769
735,0,0.275,1,0.725,0.9,1,0.96303,1,0.96303,2,0.96303,5.0,0.92769
736,0,0.275,1,0.8375,0.9,1,0.92352,1,0.92352,2,0.92667,5.0,0.92769
737,0,0.275,1,0.95,0.9,12,0.92769,16,0.90024,8,0.96247,5.0,0.92769
738,0,0.275,2,0.05,0.9,12,0.92769,34,0.94367,8,0.96247,5.0,0.92769
739,0,0.275,2,0.1625,0.9,14,0.90935,16,0.90759,9,0.96247,5.0,0.92769
740,0,0.275,2,0.275,0.9,12,0.92769,16,0.90759,9,0.96247,5.0,0.92769
741,0,0.275,2,0.3875,0.9,14,0.90935,22,0.91947,9,0.96247,5.0,0.92769
742,0,0.275,2,0.5,0.9,1,0.90467,1,0.90467,2,0.91835,5.0,0.92769
743,0,0.275,2,0.6125,0.9,1,0.94549,1,0.94549,2,0.94843,5.0,0.92769
744,0,0.275,2,0.725,0.9,1,0.96385,1,0.96385,2,0.96385,5.0,0.92769
745,0,0.275,2,0.8375,0.9,1,0.92769,1,0.92769,2,0.92769,5.0,0.92769
746,0,0.275,2,0.95,0.9,11,0.92769,15,0.90467,8,0.96247,5.0,0.92769
747,0,0.275,3,0.05,0.9,23,0.92769,34,0.94367,8,0.96247,5.0,0.92769
748,0,0.275,3,0.1625,0.9,12,0.92769,15,0.91119,8,0.96247,5.0,0.92769
749,0,0.275,3,0.275,0.9,13,0.91947,22,0.91947,8,0.96247,5.0,0.92769
750,0,0.275,3,0.3875,0.9,12,0.92769,15,0.91119,7,0.96247,5.0,0.92769
751,0,0.275,3,0.5,0.9,3,0.91439,3,0.91439,2,0.91439,5.0,0.92769
