,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
201,0,0.82143,1,0.17857,0.8,13,0.81475,14,0.80715,8,0.96062,3.0,0.91242
202,0,0.82143,1,0.30714,0.8,20,0.83986,20,0.83986,8,0.96062,3.0,0.91242
203,0,0.82143,1,0.43571,0.8,4,0.8166,4,0.8166,5,0.91816,3.0,0.91242
204,0,0.82143,1,0.56429,0.8,1,0.93591,1,0.93591,2,0.93591,3.0,0.91242
205,0,0.82143,1,0.69286,0.8,1,0.9607,1,0.9607,2,0.9607,3.0,0.91242
206,0,0.82143,1,0.82143,0.8,1,0.93874,1,0.93874,2,0.94206,3.0,0.91242
207,0,0.82143,1,0.95,0.8,11,0.94206,15,0.93035,8,0.96062,3.0,0.91242
208,0,0.82143,2,0.05,0.8,13,0.81524,13,0.80285,8,0.96062,3.0,0.91242
209,0,0.82143,2,0.17857,0.8,13,0.81524,14,0.80285,8,0.96062,3.0,0.91242
210,0,0.82143,2,0.30714,0.8,12,0.91242,13,0.88413,8,0.96062,3.0,0.91242
211,0,0.82143,2,0.43571,0.8,4,0.81126,4,0.81126,5,0.91816,3.0,0.91242
212,0,0.82143,2,0.56429,0.8,1,0.93562,1,0.93562,2,0.93562,3.0,0.91242
213,0,0.82143,2,0.69286,0.8,1,0.96071,1,0.96071,2,0.96071,3.0,0.91242
214,0,0.82143,2,0.82143,0.8,1,0.94306,1,0.94306,2,0.94306,3.0,0.91242
215,0,0.82143,2,0.95,0.8,10,0.94306,14,0.93562,8,0.96062,3.0,0.91242
216,0,0.82143,3,0.05,0.8,11,0.81475,12,0.80715,9,0.96062,3.0,0.91242
217,0,0.82143,3,0.17857,0.8,11,0.81475,12,0.80715,9,0.96062,3.0,0.91242
218,0,0.82143,3,0.30714,0.8,12,0.81475,13,0.80715,9,0.96062,3.0,0.91242
219,0,0.82143,3,0.43571,0.8,10,0.94306,4,0.82423,3,0.91816,3.0,0.91242
220,0,0.82143,3,0.56429,0.8,1,0.93207,1,0.93207,1,0.93207,3.0,0.91242
221,0,0.82143,3,0.69286,0.8,1,0.96071,1,0.96071,1,0.96071,3.0,0.91242
222,0,0.82143,3,0.82143,0.8,1,0.94306,1,0.94306,1,0.94306,3.0,0.91242
223,0,0.82143,3,0.95,0.8,11,0.94306,14,0.93207,5,0.96062,3.0,0.91242
224,0,0.95,0,0.05,0.8,13,0.81475,13,0.80715,6,0.96062,3.0,0.91242
225,0,0.95,0,0.17857,0.8,18,0.83986,18,0.83986,7,0.96062,3.0,0.91242
226,0,0.95,0,0.30714,0.8,13,0.81475,14,0.80715,7,0.96062,3.0,0.91242
227,0,0.95,0,0.43571,0.8,3,0.81126,3,0.81126,4,0.91816,3.0,0.91242
228,0,0.95,0,0.56429,0.8,1,0.93035,1,0.93035,1,0.93035,3.0,0.91242
229,0,0.95,0,0.69286,0.8,1,0.96062,1,0.96062,1,0.96062,3.0,0.91242
230,0,0.95,0,0.82143,0.8,1,0.94206,1,0.94206,1,0.94206,3.0,0.91242
231,0,0.95,0,0.95,0.8,10,0.94306,15,0.93207,7,0.96062,3.0,0.91242
232,0,0.95,1,0.05,0.8,11,0.84124,12,0.83321,7,0.96062,3.0,0.91242
233,0,0.95,1,0.17857,0.8,12,0.84124,13,0.83321,7,0.96062,3.0,0.91242
234,0,0.95,1,0.30714,0.8,12,0.84124,13,0.83321,7,0.96062,3.0,0.91242
235,0,0.95,1,0.43571,0.8,4,0.8166,4,0.8166,5,0.91816,3.0,0.91242
236,0,0.95,1,0.56429,0.8,1,0.93591,1,0.93591,2,0.93591,3.0,0.91242
237,0,0.95,1,0.69286,0.8,1,0.9607,1,0.9607,2,0.9607,3.0,0.91242
238,0,0.95,1,0.82143,0.8,1,0.93874,1,0.93874,2,0.94206,3.0,0.91242
239,0,0.95,1,0.95,0.8,11,0.94206,15,0.93035,8,0.96062,3.0,0.91242
240,0,0.95,2,0.05,0.8,13,0.81524,13,0.80285,7,0.96062,3.0,0.91242
241,0,0.95,2,0.17857,0.8,13,0.81524,14,0.80285,7,0.96062,3.0,0.91242
242,0,0.95,2,0.30714,0.8,12,0.91242,13,0.88413,7,0.96062,3.0,0.91242
243,0,0.95,2,0.43571,0.8,4,0.81126,4,0.81126,5,0.91816,3.0,0.91242
244,0,0.95,2,0.56429,0.8,1,0.93562,1,0.93562,2,0.93562,3.0,0.91242
245,0,0.95,2,0.69286,0.8,1,0.96071,1,0.96071,2,0.96071,3.0,0.91242
246,0,0.95,2,0.82143,0.8,1,0.94306,1,0.94306,2,0.94306,3.0,0.91242
247,0,0.95,2,0.95,0.8,10,0.94306,14,0.93562,8,0.96062,3.0,0.91242
248,0,0.95,3,0.05,0.8,11,0.81475,12,0.80715,7,0.96062,3.0,0.91242
249,0,0.95,3,0.17857,0.8,11,0.81475,12,0.80715,7,0.96062,3.0,0.91242
250,0,0.95,3,0.30714,0.8,12,0.81475,13,0.80715,7,0.96062,3.0,0.91242
251,0,0.95,3,0.43571,0.8,10,0.94306,4,0.82423,3,0.91816,3.0,0.91242
252,0,0.95,3,0.56429,0.8,1,0.93207,1,0.93207,1,0.93207,3.0,0.91242
253,0,0.95,3,0.69286,0.8,1,0.96071,1,0.96071,1,0.96071,3.0,0.91242
254,0,0.95,3,0.82143,0.8,1,0.94306,1,0.94306,1,0.94306,3.0,0.91242
255,0,0.95,3,0.95,0.8,11,0.94306,14,0.93207,5,0.96062,3.0,0.91242
256,1,0.05,0,0.05,0.8,19,0.93113,18,0.93113,7,0.96062,3.0,0.91242
257,1,0.05,0,0.17857,0.8,1,0.81384,1,0.81384,2,0.81384,3.0,0.91242
258,1,0.05,0,0.30714,0.8,1,0.8279,1,0.8279,2,0.8279,3.0,0.91242
259,1,0.05,0,0.43571,0.8,1,0.88976,1,0.88976,2,0.88976,3.0,0.91242
260,1,0.05,0,0.56429,0.8,1,0.90158,1,0.90158,2,0.93035,3.0,0.91242
261,1,0.05,0,0.69286,0.8,1,0.90931,1,0.90931,2,0.96062,3.0,0.91242
262,1,0.05,0,0.82143,0.8,1,0.87801,1,0.87801,2,0.94206,3.0,0.91242
263,1,0.05,0,0.95,0.8,18,0.93113,18,0.93113,8,0.96062,3.0,0.91242
264,1,0.05,1,0.05,0.8,12,0.84271,11,0.8219,8,0.96062,3.0,0.91242
265,1,0.05,1,0.17857,0.8,1,0.8219,1,0.8219,2,0.8219,3.0,0.91242
266,1,0.05,1,0.30714,0.8,1,0.83189,1,0.83189,2,0.83189,3.0,0.91242
267,1,0.05,1,0.43571,0.8,1,0.85756,1,0.85756,2,0.85756,3.0,0.91242
268,1,0.05,1,0.56429,0.8,1,0.86899,1,0.86899,3,0.93591,3.0,0.91242
269,1,0.05,1,0.69286,0.8,1,0.87475,1,0.87475,3,0.9607,3.0,0.91242
270,1,0.05,1,0.82143,0.8,1,0.84271,1,0.84271,3,0.94206,3.0,0.91242
271,1,0.05,1,0.95,0.8,12,0.84271,12,0.8219,9,0.96062,3.0,0.91242
272,1,0.05,2,0.05,0.8,12,0.92609,11,0.86237,8,0.96062,3.0,0.91242
273,1,0.05,2,0.17857,0.8,1,0.86237,1,0.86237,2,0.86237,3.0,0.91242
