,blocking threshold,match threshold,precision,recall,f-score,acc
442,0.09,0.42,0.87315,0.90378,0.8882,0.95313
443,0.09,0.43,0.88042,0.90378,0.89195,0.95489
444,0.09,0.44,0.88624,0.90378,0.89492,0.95628
445,0.09,0.45,0.89652,0.90378,0.90014,0.95868
446,0.09,0.46,0.90622,0.90378,0.905,0.96091
447,0.09,0.47,0.91033,0.90378,0.90704,0.96183
448,0.09,0.48,0.91443,0.90333,0.90885,0.96267
449,0.09,0.49,0.91984,0.90288,0.91128,0.96378
450,0.09,0.5,0.92026,0.90288,0.91149,0.96387
451,0.09,0.51,0.92831,0.90243,0.91519,0.96554
452,0.09,0.52,0.93132,0.90243,0.91665,0.96619
453,0.09,0.53,0.93299,0.90153,0.91699,0.96637
454,0.09,0.54,0.93296,0.90108,0.91674,0.96628
455,0.09,0.55,0.93554,0.90063,0.91775,0.96674
456,0.09,0.56,0.93727,0.90018,0.91835,0.96702
457,0.09,0.57,0.94118,0.89928,0.91975,0.96767
458,0.09,0.58,0.94118,0.89928,0.91975,0.96767
459,0.09,0.59,0.9434,0.89928,0.92081,0.96813
460,0.09,0.6,0.9465,0.89883,0.92205,0.96869
461,0.09,0.61,0.95055,0.89883,0.92397,0.96952
