,init pf,init block clean threshold,init weighting schema,init matching threshold,historical data size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
114,0,0.43571,2,0.30714,36,17,0.96071,38,0.95808,228,0.96071,23.0,0.96036
115,0,0.43571,2,0.43571,36,22,0.96071,37,0.95808,271,0.95808,23.0,0.96036
116,0,0.43571,2,0.56429,36,18,0.96402,16,0.96359,268,0.95808,23.0,0.96036
117,0,0.43571,2,0.69286,36,1,0.96071,1,0.96071,4,0.95959,23.0,0.96036
118,0,0.43571,2,0.82143,36,15,0.96071,15,0.96071,267,0.95808,23.0,0.96036
119,0,0.43571,2,0.95,36,14,0.96071,16,0.96071,221,0.96071,23.0,0.96036
120,0,0.43571,3,0.05,36,22,0.96071,36,0.95808,219,0.96071,23.0,0.96036
121,0,0.43571,3,0.17857,36,16,0.96071,18,0.96284,219,0.96071,23.0,0.96036
122,0,0.43571,3,0.30714,36,22,0.96071,36,0.95808,219,0.96071,23.0,0.96036
123,0,0.43571,3,0.43571,36,21,0.96071,36,0.95808,269,0.95808,23.0,0.96036
124,0,0.43571,3,0.56429,36,17,0.96402,15,0.96359,267,0.95808,23.0,0.96036
125,0,0.43571,3,0.69286,36,1,0.96071,1,0.96071,4,0.95959,23.0,0.96036
126,0,0.43571,3,0.82143,36,14,0.96071,15,0.96071,267,0.95808,23.0,0.96036
127,0,0.43571,3,0.95,36,15,0.96071,15,0.96071,220,0.96071,23.0,0.96036
128,0,0.56429,0,0.05,36,17,0.96071,37,0.95808,224,0.96071,23.0,0.96036
129,0,0.56429,0,0.17857,36,21,0.96071,36,0.95808,224,0.96071,23.0,0.96036
130,0,0.56429,0,0.30714,36,17,0.96071,37,0.95808,223,0.96071,23.0,0.96036
131,0,0.56429,0,0.43571,36,21,0.96071,35,0.95808,270,0.95808,23.0,0.96036
132,0,0.56429,0,0.56429,36,17,0.96402,16,0.96359,267,0.95808,23.0,0.96036
133,0,0.56429,0,0.69286,36,1,0.96062,1,0.96062,7,0.96071,23.0,0.96036
134,0,0.56429,0,0.82143,36,15,0.96071,14,0.96062,268,0.95808,23.0,0.96036
135,0,0.56429,0,0.95,36,14,0.96071,17,0.96071,221,0.96071,23.0,0.96036
136,0,0.56429,1,0.05,36,20,0.96071,36,0.95808,226,0.96071,23.0,0.96036
137,0,0.56429,1,0.17857,36,20,0.96071,37,0.95808,222,0.96071,23.0,0.96036
138,0,0.56429,1,0.30714,36,20,0.96071,36,0.95808,222,0.96071,23.0,0.96036
139,0,0.56429,1,0.43571,36,22,0.96071,37,0.95808,270,0.95808,23.0,0.96036
140,0,0.56429,1,0.56429,36,17,0.96165,15,0.96165,267,0.95808,23.0,0.96036
141,0,0.56429,1,0.69286,36,1,0.9607,1,0.9607,7,0.96071,23.0,0.96036
142,0,0.56429,1,0.82143,36,14,0.96071,17,0.96071,267,0.95808,23.0,0.96036
143,0,0.56429,1,0.95,36,15,0.96071,16,0.96062,221,0.96071,23.0,0.96036
144,0,0.56429,2,0.05,36,17,0.96071,37,0.95808,226,0.96071,23.0,0.96036
145,0,0.56429,2,0.17857,36,22,0.96071,37,0.95808,228,0.96071,23.0,0.96036
146,0,0.56429,2,0.30714,36,21,0.96071,37,0.95808,222,0.96071,23.0,0.96036
147,0,0.56429,2,0.43571,36,20,0.96071,36,0.95808,271,0.95808,23.0,0.96036
148,0,0.56429,2,0.56429,36,17,0.96402,16,0.95808,267,0.95808,23.0,0.96036
149,0,0.56429,2,0.69286,36,1,0.96071,1,0.96071,7,0.96071,23.0,0.96036
150,0,0.56429,2,0.82143,36,15,0.96071,15,0.96071,267,0.95808,23.0,0.96036
151,0,0.56429,2,0.95,36,14,0.96071,16,0.96071,221,0.96071,23.0,0.96036
152,0,0.56429,3,0.05,36,22,0.96071,36,0.95808,219,0.96071,23.0,0.96036
153,0,0.56429,3,0.17857,36,16,0.96071,35,0.95808,223,0.96071,23.0,0.96036
154,0,0.56429,3,0.30714,36,22,0.96071,36,0.95808,222,0.96071,23.0,0.96036
155,0,0.56429,3,0.43571,36,21,0.96071,35,0.95808,269,0.95808,23.0,0.96036
156,0,0.56429,3,0.56429,36,17,0.96402,15,0.96359,267,0.95808,23.0,0.96036
157,0,0.56429,3,0.69286,36,1,0.96071,1,0.96071,7,0.96071,23.0,0.96036
158,0,0.56429,3,0.82143,36,14,0.96071,15,0.96071,267,0.95808,23.0,0.96036
159,0,0.56429,3,0.95,36,15,0.96071,15,0.96071,220,0.96071,23.0,0.96036
160,0,0.69286,0,0.05,36,17,0.96071,36,0.95808,223,0.96071,23.0,0.96036
161,0,0.69286,0,0.17857,36,21,0.96071,35,0.95808,222,0.96071,23.0,0.96036
162,0,0.69286,0,0.30714,36,22,0.96071,37,0.95808,221,0.96071,23.0,0.96036
163,0,0.69286,0,0.43571,36,21,0.96071,36,0.95808,223,0.96071,23.0,0.96036
164,0,0.69286,0,0.56429,36,17,0.96402,16,0.96359,267,0.95808,23.0,0.96036
165,0,0.69286,0,0.69286,36,1,0.96062,1,0.96062,7,0.96071,23.0,0.96036
166,0,0.69286,0,0.82143,36,15,0.96071,14,0.96062,268,0.95808,23.0,0.96036
167,0,0.69286,0,0.95,36,14,0.96071,17,0.96071,221,0.96071,23.0,0.96036
168,0,0.69286,1,0.05,36,21,0.96071,36,0.95808,223,0.96071,23.0,0.96036
169,0,0.69286,1,0.17857,36,22,0.96071,36,0.95808,222,0.96071,23.0,0.96036
170,0,0.69286,1,0.30714,36,22,0.96071,38,0.95808,221,0.96071,23.0,0.96036
171,0,0.69286,1,0.43571,36,17,0.95935,16,0.95808,223,0.96071,23.0,0.96036
172,0,0.69286,1,0.56429,36,17,0.96165,15,0.96165,267,0.95808,23.0,0.96036
173,0,0.69286,1,0.69286,36,1,0.9607,1,0.9607,7,0.96071,23.0,0.96036
174,0,0.69286,1,0.82143,36,14,0.96071,17,0.96071,267,0.95808,23.0,0.96036
175,0,0.69286,1,0.95,36,15,0.96071,16,0.96062,223,0.96071,23.0,0.96036
176,0,0.69286,2,0.05,36,20,0.96071,37,0.95808,222,0.96071,23.0,0.96036
177,0,0.69286,2,0.17857,36,20,0.96071,36,0.95808,269,0.95808,23.0,0.96036
178,0,0.69286,2,0.30714,36,22,0.96071,38,0.95808,222,0.96071,23.0,0.96036
179,0,0.69286,2,0.43571,36,22,0.96071,37,0.95808,223,0.96071,23.0,0.96036
180,0,0.69286,2,0.56429,36,17,0.96402,16,0.95808,267,0.95808,23.0,0.96036
181,0,0.69286,2,0.69286,36,1,0.96071,1,0.96071,7,0.96071,23.0,0.96036
182,0,0.69286,2,0.82143,36,15,0.96071,15,0.96071,267,0.95808,23.0,0.96036
183,0,0.69286,2,0.95,36,14,0.96071,16,0.96071,223,0.96071,23.0,0.96036
184,0,0.69286,3,0.05,36,20,0.96071,34,0.95808,221,0.96071,23.0,0.96036
185,0,0.69286,3,0.17857,36,21,0.96071,34,0.95808,220,0.96071,23.0,0.96036
186,0,0.69286,3,0.30714,36,21,0.96071,35,0.95808,219,0.96071,23.0,0.96036
187,0,0.69286,3,0.43571,36,21,0.96071,36,0.95808,221,0.96071,23.0,0.96036
188,0,0.69286,3,0.56429,36,17,0.96402,15,0.96359,267,0.95808,23.0,0.96036
189,0,0.69286,3,0.69286,36,1,0.96071,1,0.96071,7,0.96071,23.0,0.96036
190,0,0.69286,3,0.82143,36,14,0.96071,15,0.96071,267,0.95808,23.0,0.96036
191,0,0.69286,3,0.95,36,15,0.96071,15,0.96071,220,0.96071,23.0,0.96036
192,0,0.82143,0,0.05,36,23,0.96071,36,0.95808,223,0.96071,23.0,0.96036
193,0,0.82143,0,0.17857,36,21,0.96071,36,0.95808,226,0.96071,23.0,0.96036
194,0,0.82143,0,0.30714,36,23,0.96071,37,0.95808,225,0.96071,23.0,0.96036
195,0,0.82143,0,0.43571,36,21,0.96071,36,0.95808,222,0.96071,23.0,0.96036
196,0,0.82143,0,0.56429,36,17,0.96402,16,0.96359,267,0.95808,23.0,0.96036
197,0,0.82143,0,0.69286,36,1,0.96062,1,0.96062,7,0.96071,23.0,0.96036
198,0,0.82143,0,0.82143,36,15,0.96071,14,0.96062,268,0.95808,23.0,0.96036
199,0,0.82143,0,0.95,36,14,0.96071,17,0.96071,223,0.96071,23.0,0.96036
200,0,0.82143,1,0.05,36,22,0.96071,37,0.95808,224,0.96071,23.0,0.96036
201,0,0.82143,1,0.17857,36,23,0.96071,36,0.95808,226,0.96071,23.0,0.96036
202,0,0.82143,1,0.30714,36,23,0.96071,38,0.95808,225,0.96071,23.0,0.96036
203,0,0.82143,1,0.43571,36,17,0.95935,16,0.95808,222,0.96071,23.0,0.96036
204,0,0.82143,1,0.56429,36,17,0.96165,15,0.96165,267,0.95808,23.0,0.96036
205,0,0.82143,1,0.69286,36,1,0.9607,1,0.9607,7,0.96071,23.0,0.96036
206,0,0.82143,1,0.82143,36,14,0.96071,17,0.96071,224,0.96071,23.0,0.96036
207,0,0.82143,1,0.95,36,15,0.96071,16,0.96062,222,0.96071,23.0,0.96036
