,init pf,init block clean threshold,init weighting schema,init matching threshold,search space size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
448,1,0.3875,1,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
449,1,0.3875,1,0.95,648,26,0.96303,34,0.96303,9,0.96247,24.0,0.96178
450,1,0.3875,2,0.05,648,14,0.95572,17,0.95572,8,0.96247,24.0,0.96178
451,1,0.3875,2,0.1625,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
452,1,0.3875,2,0.275,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
453,1,0.3875,2,0.3875,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
454,1,0.3875,2,0.5,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
455,1,0.3875,2,0.6125,648,15,0.95572,17,0.95572,7,0.96247,24.0,0.96178
456,1,0.3875,2,0.725,648,1,0.95572,1,0.95572,3,0.96385,24.0,0.96178
457,1,0.3875,2,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
458,1,0.3875,2,0.95,648,14,0.95572,18,0.95572,9,0.96247,24.0,0.96178
459,1,0.3875,3,0.05,648,26,0.96303,40,0.96303,8,0.96247,24.0,0.96178
460,1,0.3875,3,0.1625,648,27,0.96303,42,0.96303,4,0.96247,24.0,0.96178
461,1,0.3875,3,0.275,648,26,0.96303,41,0.96303,4,0.96247,24.0,0.96178
462,1,0.3875,3,0.3875,648,15,0.95604,17,0.95604,4,0.96247,24.0,0.96178
463,1,0.3875,3,0.5,648,13,0.95604,16,0.95604,4,0.96247,24.0,0.96178
464,1,0.3875,3,0.6125,648,15,0.95604,17,0.95604,5,0.96247,24.0,0.96178
465,1,0.3875,3,0.725,648,1,0.95604,1,0.95604,2,0.96385,24.0,0.96178
466,1,0.3875,3,0.8375,648,13,0.96385,18,0.96385,6,0.96247,24.0,0.96178
467,1,0.3875,3,0.95,648,14,0.96385,19,0.96385,6,0.96247,24.0,0.96178
468,1,0.5,0,0.05,648,27,0.96303,41,0.96303,7,0.96247,24.0,0.96178
469,1,0.5,0,0.1625,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
470,1,0.5,0,0.275,648,27,0.96303,42,0.96303,6,0.96247,24.0,0.96178
471,1,0.5,0,0.3875,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
472,1,0.5,0,0.5,648,15,0.95019,18,0.95019,6,0.96247,24.0,0.96178
473,1,0.5,0,0.6125,648,14,0.96247,17,0.96247,8,0.96247,24.0,0.96178
474,1,0.5,0,0.725,648,3,0.96247,3,0.96247,2,0.96247,24.0,0.96178
475,1,0.5,0,0.8375,648,14,0.96385,19,0.96385,9,0.96247,24.0,0.96178
476,1,0.5,0,0.95,648,12,0.96247,41,0.96303,8,0.96247,24.0,0.96178
477,1,0.5,1,0.05,648,26,0.96303,34,0.96303,8,0.96247,24.0,0.96178
478,1,0.5,1,0.1625,648,26,0.96303,35,0.96303,6,0.96247,24.0,0.96178
479,1,0.5,1,0.275,648,27,0.96303,39,0.96303,6,0.96247,24.0,0.96178
480,1,0.5,1,0.3875,648,21,0.96247,21,0.96247,6,0.96247,24.0,0.96178
481,1,0.5,1,0.5,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
482,1,0.5,1,0.6125,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
483,1,0.5,1,0.725,648,3,0.96303,3,0.96303,3,0.96303,24.0,0.96178
484,1,0.5,1,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
485,1,0.5,1,0.95,648,26,0.96303,34,0.96303,9,0.96247,24.0,0.96178
486,1,0.5,2,0.05,648,14,0.95572,17,0.95572,8,0.96247,24.0,0.96178
487,1,0.5,2,0.1625,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
488,1,0.5,2,0.275,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
489,1,0.5,2,0.3875,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
490,1,0.5,2,0.5,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
491,1,0.5,2,0.6125,648,15,0.95572,17,0.95572,7,0.96247,24.0,0.96178
492,1,0.5,2,0.725,648,1,0.95572,1,0.95572,3,0.96385,24.0,0.96178
493,1,0.5,2,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
494,1,0.5,2,0.95,648,14,0.95572,18,0.95572,9,0.96247,24.0,0.96178
495,1,0.5,3,0.05,648,13,0.96385,40,0.96303,7,0.96247,24.0,0.96178
496,1,0.5,3,0.1625,648,27,0.96303,42,0.96303,4,0.96247,24.0,0.96178
497,1,0.5,3,0.275,648,26,0.96303,41,0.96303,4,0.96247,24.0,0.96178
498,1,0.5,3,0.3875,648,15,0.95604,17,0.95604,4,0.96247,24.0,0.96178
499,1,0.5,3,0.5,648,13,0.95604,16,0.95604,4,0.96247,24.0,0.96178
500,1,0.5,3,0.6125,648,15,0.95604,17,0.95604,5,0.96247,24.0,0.96178
501,1,0.5,3,0.725,648,1,0.95604,1,0.95604,2,0.96385,24.0,0.96178
502,1,0.5,3,0.8375,648,13,0.96385,18,0.96385,6,0.96247,24.0,0.96178
503,1,0.5,3,0.95,648,14,0.96385,19,0.96385,6,0.96247,24.0,0.96178
504,1,0.6125,0,0.05,648,27,0.96303,41,0.96303,7,0.96247,24.0,0.96178
505,1,0.6125,0,0.1625,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
506,1,0.6125,0,0.275,648,27,0.96303,42,0.96303,6,0.96247,24.0,0.96178
507,1,0.6125,0,0.3875,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
508,1,0.6125,0,0.5,648,15,0.95019,18,0.95019,6,0.96247,24.0,0.96178
509,1,0.6125,0,0.6125,648,14,0.96247,17,0.96247,8,0.96247,24.0,0.96178
510,1,0.6125,0,0.725,648,3,0.96247,3,0.96247,2,0.96247,24.0,0.96178
511,1,0.6125,0,0.8375,648,14,0.96385,19,0.96385,9,0.96247,24.0,0.96178
512,1,0.6125,0,0.95,648,12,0.96247,41,0.96303,8,0.96247,24.0,0.96178
513,1,0.6125,1,0.05,648,26,0.96303,34,0.96303,8,0.96247,24.0,0.96178
514,1,0.6125,1,0.1625,648,26,0.96303,35,0.96303,6,0.96247,24.0,0.96178
515,1,0.6125,1,0.275,648,27,0.96303,39,0.96303,6,0.96247,24.0,0.96178
516,1,0.6125,1,0.3875,648,21,0.96247,21,0.96247,6,0.96247,24.0,0.96178
517,1,0.6125,1,0.5,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
518,1,0.6125,1,0.6125,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
519,1,0.6125,1,0.725,648,3,0.96303,3,0.96303,3,0.96303,24.0,0.96178
520,1,0.6125,1,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
521,1,0.6125,1,0.95,648,26,0.96303,34,0.96303,9,0.96247,24.0,0.96178
522,1,0.6125,2,0.05,648,14,0.95572,17,0.95572,8,0.96247,24.0,0.96178
523,1,0.6125,2,0.1625,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
524,1,0.6125,2,0.275,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
525,1,0.6125,2,0.3875,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
526,1,0.6125,2,0.5,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
527,1,0.6125,2,0.6125,648,15,0.95572,17,0.95572,7,0.96247,24.0,0.96178
528,1,0.6125,2,0.725,648,1,0.95572,1,0.95572,3,0.96385,24.0,0.96178
529,1,0.6125,2,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
530,1,0.6125,2,0.95,648,14,0.95572,18,0.95572,9,0.96247,24.0,0.96178
531,1,0.6125,3,0.05,648,13,0.96385,40,0.96303,7,0.96247,24.0,0.96178
532,1,0.6125,3,0.1625,648,27,0.96303,42,0.96303,4,0.96247,24.0,0.96178
533,1,0.6125,3,0.275,648,26,0.96303,41,0.96303,4,0.96247,24.0,0.96178
534,1,0.6125,3,0.3875,648,15,0.95604,17,0.95604,4,0.96247,24.0,0.96178
535,1,0.6125,3,0.5,648,13,0.95604,16,0.95604,4,0.96247,24.0,0.96178
536,1,0.6125,3,0.6125,648,15,0.95604,17,0.95604,5,0.96247,24.0,0.96178
537,1,0.6125,3,0.725,648,1,0.95604,1,0.95604,2,0.96385,24.0,0.96178
538,1,0.6125,3,0.8375,648,13,0.96385,18,0.96385,6,0.96247,24.0,0.96178
539,1,0.6125,3,0.95,648,14,0.96385,19,0.96385,6,0.96247,24.0,0.96178
540,1,0.725,0,0.05,648,27,0.96303,41,0.96303,7,0.96247,24.0,0.96178
541,1,0.725,0,0.1625,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
542,1,0.725,0,0.275,648,27,0.96303,42,0.96303,6,0.96247,24.0,0.96178
543,1,0.725,0,0.3875,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
544,1,0.725,0,0.5,648,15,0.95019,18,0.95019,6,0.96247,24.0,0.96178
545,1,0.725,0,0.6125,648,14,0.96247,17,0.96247,8,0.96247,24.0,0.96178
546,1,0.725,0,0.725,648,3,0.96247,3,0.96247,2,0.96247,24.0,0.96178
547,1,0.725,0,0.8375,648,14,0.96385,19,0.96385,9,0.96247,24.0,0.96178
548,1,0.725,0,0.95,648,12,0.96247,41,0.96303,8,0.96247,24.0,0.96178
549,1,0.725,1,0.05,648,26,0.96303,34,0.96303,8,0.96247,24.0,0.96178
550,1,0.725,1,0.1625,648,26,0.96303,35,0.96303,6,0.96247,24.0,0.96178
551,1,0.725,1,0.275,648,27,0.96303,39,0.96303,6,0.96247,24.0,0.96178
552,1,0.725,1,0.3875,648,21,0.96247,21,0.96247,6,0.96247,24.0,0.96178
553,1,0.725,1,0.5,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
554,1,0.725,1,0.6125,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
555,1,0.725,1,0.725,648,3,0.96303,3,0.96303,3,0.96303,24.0,0.96178
556,1,0.725,1,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
557,1,0.725,1,0.95,648,26,0.96303,34,0.96303,9,0.96247,24.0,0.96178
558,1,0.725,2,0.05,648,14,0.95572,17,0.95572,8,0.96247,24.0,0.96178
559,1,0.725,2,0.1625,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
560,1,0.725,2,0.275,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
561,1,0.725,2,0.3875,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
