,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
192,4,1,0.05,0,0.05,6778,0.25226,0.05556,0.09524,0.2,0.59446,0.16439
193,4,1,0.05,0,0.35,6778,0.25226,0.05556,0.09524,0.2,0.82807,0.38515
194,4,1,0.05,0,0.65,6778,0.25226,0.05556,0.09524,0.2,0.94923,0.94851
195,4,1,0.05,0,0.95,6778,0.25226,0.05556,0.09524,0.2,0.0,0.78261
196,4,1,0.05,1,0.05,7781,0.23162,0.05556,0.09091,0.18182,0.57005,0.10596
197,4,1,0.05,1,0.35,7781,0.23162,0.05556,0.09091,0.18182,0.80961,0.27657
198,4,1,0.05,1,0.65,7781,0.23162,0.05556,0.09091,0.18182,0.94923,0.94864
199,4,1,0.05,1,0.95,7781,0.23162,0.05556,0.09091,0.18182,0.0,0.78327
200,4,1,0.05,2,0.05,8984,0.20696,0.05263,0.08333,0.16667,0.52387,0.11985
201,4,1,0.05,2,0.35,8984,0.20696,0.05263,0.08333,0.16667,0.78017,0.31125
202,4,1,0.05,2,0.65,8984,0.20696,0.05263,0.08333,0.16667,0.94923,0.9495
203,4,1,0.05,2,0.95,8984,0.20696,0.05263,0.08333,0.16667,0.0,0.78393
204,4,1,0.05,3,0.05,6594,0.25922,0.0625,0.11111,0.22222,0.56868,0.12998
205,4,1,0.05,3,0.35,6594,0.25922,0.0625,0.11111,0.22222,0.82953,0.338
206,4,1,0.05,3,0.65,6594,0.25922,0.0625,0.11111,0.22222,0.94923,0.94991
207,4,1,0.05,3,0.95,6594,0.25922,0.0625,0.11111,0.22222,0.0,0.78393
208,4,1,0.35,0,0.05,930,0.97313,1.0,1.0,1.0,0.88,0.73643
209,4,1,0.35,0,0.35,930,0.97313,1.0,1.0,1.0,0.88,0.75506
210,4,1,0.35,0,0.65,930,0.97313,1.0,1.0,1.0,0.83744,0.76935
211,4,1,0.35,0,0.95,930,0.97313,1.0,1.0,1.0,0.0,0.57216
212,4,1,0.35,1,0.05,990,0.93578,1.0,1.0,1.0,0.89044,0.7021
213,4,1,0.35,1,0.35,990,0.93578,1.0,1.0,1.0,0.89044,0.73437
214,4,1,0.35,1,0.65,990,0.93578,1.0,1.0,1.0,0.84597,0.75408
215,4,1,0.35,1,0.95,990,0.93578,1.0,1.0,1.0,0.0,0.56109
216,4,1,0.35,2,0.05,1031,0.95386,1.0,1.0,1.0,0.92377,0.76045
217,4,1,0.35,2,0.35,1031,0.95386,1.0,1.0,1.0,0.92793,0.8002
218,4,1,0.35,2,0.65,1031,0.95386,1.0,1.0,1.0,0.88416,0.82304
219,4,1,0.35,2,0.95,1031,0.95386,1.0,1.0,1.0,0.0,0.62931
220,4,1,0.35,3,0.05,1074,0.97658,1.0,1.0,1.0,0.98713,0.83698
221,4,1,0.35,3,0.35,1074,0.97658,1.0,1.0,1.0,0.98713,0.8744
222,4,1,0.35,3,0.65,1074,0.97658,1.0,1.0,1.0,0.9417,0.8928
223,4,1,0.35,3,0.95,1074,0.97658,1.0,1.0,1.0,0.0,0.69825
224,4,1,0.65,0,0.05,326,0.97571,1.0,1.0,1.0,0.41077,0.32807
225,4,1,0.65,0,0.35,326,0.97571,1.0,1.0,1.0,0.41077,0.32807
226,4,1,0.65,0,0.65,326,0.97571,1.0,1.0,1.0,0.37241,0.32568
227,4,1,0.65,0,0.95,326,0.97571,1.0,1.0,1.0,0.0,0.21007
228,4,1,0.65,1,0.05,326,0.97571,1.0,1.0,1.0,0.41077,0.32807
229,4,1,0.65,1,0.35,326,0.97571,1.0,1.0,1.0,0.41077,0.32807
230,4,1,0.65,1,0.65,326,0.97571,1.0,1.0,1.0,0.37241,0.32568
231,4,1,0.65,1,0.95,326,0.97571,1.0,1.0,1.0,0.0,0.21007
232,4,1,0.65,2,0.05,357,0.97884,1.0,1.0,1.0,0.45752,0.32807
233,4,1,0.65,2,0.35,357,0.97884,1.0,1.0,1.0,0.45752,0.32807
234,4,1,0.65,2,0.65,357,0.97884,1.0,1.0,1.0,0.42141,0.32568
235,4,1,0.65,2,0.95,357,0.97884,1.0,1.0,1.0,0.0,0.21007
236,4,1,0.65,3,0.05,624,0.99682,1.0,1.0,1.0,0.73459,0.63792
237,4,1,0.65,3,0.35,624,0.99682,1.0,1.0,1.0,0.73459,0.63811
238,4,1,0.65,3,0.65,624,0.99682,1.0,1.0,1.0,0.72776,0.63768
239,4,1,0.65,3,0.95,624,0.99682,1.0,1.0,1.0,0.0,0.48036
240,4,1,0.95,0,0.05,44,0.98,1.0,1.0,1.0,0.0813,0.05169
241,4,1,0.95,0,0.35,44,0.98,1.0,1.0,1.0,0.0813,0.05169
242,4,1,0.95,0,0.65,44,0.98,1.0,1.0,1.0,0.07348,0.05083
243,4,1,0.95,0,0.95,44,0.98,1.0,1.0,1.0,0.0,0.03186
244,4,1,0.95,1,0.05,44,0.98,1.0,1.0,1.0,0.0813,0.05169
245,4,1,0.95,1,0.35,44,0.98,1.0,1.0,1.0,0.0813,0.05169
246,4,1,0.95,1,0.65,44,0.98,1.0,1.0,1.0,0.07348,0.05083
247,4,1,0.95,1,0.95,44,0.98,1.0,1.0,1.0,0.0,0.03186
248,4,1,0.95,2,0.05,46,0.98182,1.0,1.0,1.0,0.08907,0.07195
