,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
270,0,0.8375,2,0.05,70,0.69444,0.16667,1.0,1.0,0.04838,0.43291
271,0,0.8375,2,0.1625,70,0.69444,0.16667,1.0,1.0,0.04877,0.46981
272,0,0.8375,2,0.275,70,0.69444,0.16667,1.0,1.0,0.04877,0.47979
273,0,0.8375,2,0.3875,70,0.69444,0.16667,1.0,1.0,0.04917,0.49604
274,0,0.8375,2,0.5,70,0.69444,0.16667,1.0,1.0,0.04917,0.51407
275,0,0.8375,2,0.6125,70,0.69444,0.16667,1.0,1.0,0.04116,0.51802
276,0,0.8375,2,0.725,70,0.69444,0.16667,1.0,1.0,0.0,0.52573
277,0,0.8375,2,0.8375,70,0.69444,0.16667,1.0,1.0,0.0,0.49177
278,0,0.8375,2,0.95,70,0.69444,0.16667,1.0,1.0,0.0,0.39771
279,0,0.8375,3,0.05,70,0.69444,0.16667,1.0,1.0,0.04838,0.4323
280,0,0.8375,3,0.1625,70,0.69444,0.16667,1.0,1.0,0.04877,0.46892
281,0,0.8375,3,0.275,70,0.69444,0.16667,1.0,1.0,0.04877,0.47889
282,0,0.8375,3,0.3875,70,0.69444,0.16667,1.0,1.0,0.04917,0.49512
283,0,0.8375,3,0.5,70,0.69444,0.16667,1.0,1.0,0.04917,0.51313
284,0,0.8375,3,0.6125,70,0.69444,0.16667,1.0,1.0,0.04116,0.51708
285,0,0.8375,3,0.725,70,0.69444,0.16667,1.0,1.0,0.0,0.52477
286,0,0.8375,3,0.8375,70,0.69444,0.16667,1.0,1.0,0.0,0.49076
287,0,0.8375,3,0.95,70,0.69444,0.16667,1.0,1.0,0.0,0.39714
288,0,0.95,0,0.05,0,1.0,1.0,1.0,1.0,0.01666,0.17895
289,0,0.95,0,0.1625,0,1.0,1.0,1.0,1.0,0.01666,0.18635
290,0,0.95,0,0.275,0,1.0,1.0,1.0,1.0,0.01666,0.18774
