,q-gram size,blocking threshold,match threshold,precision,recall,f-score,acc
281,5,0.3,0.4,0.90449,0.91547,0.90995,0.94217
282,4,0.3,0.41,0.88158,0.8804,0.88099,0.96053
283,5,0.3,0.41,0.913,0.91547,0.91423,0.94519
284,4,0.3,0.42,0.89366,0.8804,0.88698,0.96277
285,5,0.3,0.42,0.91629,0.91547,0.91588,0.94633
286,4,0.3,0.43,0.90023,0.8804,0.8902,0.96397
287,5,0.3,0.43,0.92043,0.91547,0.91794,0.94777
288,4,0.3,0.44,0.90564,0.8804,0.89284,0.96494
289,5,0.3,0.44,0.92503,0.91547,0.92023,0.94935
290,4,0.3,0.45,0.91495,0.8804,0.89734,0.96658
291,5,0.3,0.45,0.93053,0.91547,0.92294,0.95121
292,4,0.3,0.46,0.91796,0.8804,0.89879,0.9671
293,5,0.3,0.46,0.93309,0.91547,0.9242,0.95207
294,4,0.3,0.47,0.92185,0.8804,0.90065,0.96777
295,5,0.3,0.47,0.93652,0.91547,0.92588,0.95322
296,4,0.3,0.48,0.92446,0.8804,0.90189,0.96822
297,5,0.3,0.48,0.94085,0.91547,0.92799,0.95466
298,4,0.3,0.49,0.93146,0.87995,0.90497,0.96934
299,5,0.3,0.49,0.94475,0.91502,0.92965,0.9558
300,4,0.3,0.5,0.93279,0.87995,0.9056,0.96956
301,5,0.3,0.5,0.94519,0.91502,0.92986,0.95595
302,4,0.3,0.51,0.93678,0.8795,0.90724,0.97016
303,5,0.3,0.51,0.94869,0.91457,0.93132,0.95695
304,4,0.3,0.52,0.93768,0.8795,0.90766,0.97031
305,5,0.3,0.52,0.94914,0.91457,0.93153,0.9571
306,4,0.3,0.53,0.93942,0.8786,0.90799,0.97046
307,5,0.3,0.53,0.95042,0.91367,0.93168,0.95724
308,4,0.3,0.54,0.93987,0.8786,0.9082,0.97053
309,5,0.3,0.54,0.9504,0.91322,0.93144,0.9571
310,4,0.3,0.55,0.94257,0.87815,0.90922,0.9709
311,5,0.3,0.55,0.95216,0.91277,0.93205,0.95753
312,4,0.3,0.56,0.94436,0.8777,0.90981,0.97113
313,5,0.3,0.56,0.95303,0.91232,0.93223,0.95767
314,4,0.3,0.57,0.94844,0.8768,0.91121,0.97165
315,5,0.3,0.57,0.95658,0.91142,0.93345,0.95853
316,4,0.3,0.58,0.94842,0.87635,0.91096,0.97158
317,5,0.3,0.58,0.95747,0.91097,0.93364,0.95867
318,4,0.3,0.59,0.95024,0.8759,0.91156,0.9718
319,5,0.3,0.59,0.95926,0.91052,0.93425,0.9591
320,4,0.3,0.6,0.95348,0.87545,0.9128,0.97225
321,5,0.3,0.6,0.96015,0.91007,0.93444,0.95925
322,4,0.3,0.61,0.95676,0.87545,0.9143,0.97277
323,5,0.3,0.61,0.96289,0.91007,0.93574,0.96011
324,4,0.3,0.62,0.96,0.8741,0.91504,0.97307
325,5,0.3,0.62,0.96514,0.90872,0.93608,0.9604
326,4,0.3,0.63,0.96141,0.87365,0.91543,0.97322
327,5,0.3,0.63,0.96743,0.90827,0.93692,0.96097
328,4,0.3,0.64,0.96377,0.8732,0.91625,0.97352
329,5,0.3,0.64,0.96928,0.90782,0.93754,0.9614
330,4,0.3,0.65,0.96615,0.87275,0.91708,0.97381
331,5,0.3,0.65,0.97066,0.90737,0.93795,0.96169
332,4,0.3,0.66,0.96708,0.87185,0.917,0.97381
333,5,0.3,0.66,0.97157,0.90647,0.93789,0.96169
334,4,0.3,0.67,0.97722,0.86781,0.91927,0.97471
335,5,0.3,0.67,0.98333,0.90198,0.9409,0.96384
336,4,0.3,0.68,0.97816,0.86601,0.91867,0.97456
337,5,0.3,0.68,0.98427,0.90018,0.94035,0.96355
338,4,0.3,0.69,0.97963,0.86511,0.91882,0.97463
339,5,0.3,0.69,0.98571,0.89928,0.94051,0.9637
340,4,0.3,0.7,0.9811,0.86376,0.9187,0.97463
341,5,0.3,0.7,0.98617,0.89793,0.93998,0.96341
342,4,0.3,0.71,0.98108,0.86286,0.91818,0.97449
343,5,0.3,0.71,0.98616,0.89703,0.93949,0.96312
344,4,0.3,0.72,0.98354,0.85971,0.91747,0.97434
345,5,0.3,0.72,0.98709,0.89388,0.93818,0.9624
346,4,0.3,0.73,0.98605,0.85791,0.91753,0.97441
347,5,0.3,0.73,0.98805,0.89254,0.93787,0.96226
348,4,0.3,0.74,0.98652,0.85567,0.91645,0.97411
349,5,0.3,0.74,0.98901,0.89029,0.93706,0.96183
350,4,0.3,0.75,0.98801,0.85252,0.91528,0.97381
351,5,0.3,0.75,0.99046,0.88714,0.93596,0.96126
352,4,0.3,0.76,0.98948,0.84577,0.912,0.97292
353,5,0.3,0.76,0.99089,0.8804,0.93238,0.95925
354,4,0.3,0.77,0.98997,0.84353,0.9109,0.97262
355,5,0.3,0.77,0.99137,0.8777,0.93108,0.95853
356,4,0.3,0.78,0.99247,0.82959,0.90375,0.97068
357,5,0.3,0.78,0.99276,0.86331,0.92352,0.95437
358,4,0.3,0.79,0.99242,0.82419,0.90052,0.96979
359,5,0.3,0.79,0.99271,0.85701,0.91988,0.95236
360,4,0.3,0.8,0.99344,0.817,0.89662,0.96874
361,5,0.3,0.8,0.99369,0.84982,0.91614,0.95035
362,4,0.3,0.81,0.99393,0.8098,0.89247,0.96762
363,5,0.3,0.81,0.99416,0.84173,0.91162,0.94791
364,4,0.3,0.82,0.99389,0.80396,0.88889,0.96665
365,5,0.3,0.82,0.99411,0.83543,0.90789,0.9459
366,4,0.3,0.83,0.99386,0.80036,0.88668,0.96605
367,5,0.3,0.83,0.99409,0.83138,0.90548,0.94461
368,4,0.3,0.84,0.99369,0.77833,0.87292,0.9624
369,5,0.3,0.84,0.99392,0.8089,0.89192,0.93744
370,4,0.3,0.85,0.99364,0.77293,0.8695,0.9615
371,5,0.3,0.85,0.99388,0.80351,0.88861,0.93572
372,4,0.3,0.86,0.99529,0.76034,0.86209,0.95964
373,5,0.3,0.86,0.99434,0.79002,0.88048,0.93155
374,4,0.3,0.87,0.99515,0.73876,0.848,0.95606
375,5,0.3,0.87,0.99418,0.76799,0.86657,0.92452
376,4,0.3,0.88,0.99568,0.72482,0.83893,0.95382
377,5,0.3,0.88,0.99585,0.7545,0.85854,0.92065
