2025-10-01 01:19:24,465 - INFO - pipeline[1. 1. 1.]
2025-10-01 01:19:24,465 - INFO - [GS2] Start. Target utility = 0.050000
2025-10-01 01:34:30,826 - DEBUG - [GS2] A | iter=25 | order=['missing_value', 'normalization', 'model'] | vec=[2, 4, 1] | utility=0.184004
2025-10-01 01:34:31,199 - DEBUG - [GS2] A | iter=26 | order=['normalization', 'missing_value', 'model'] | vec=[4, 3, 1] | utility=0.188668
2025-10-01 01:34:31,593 - DEBUG - [GS2] A | iter=27 | order=['missing_value', 'normalization', 'model'] | vec=[2, 5, 1] | utility=0.200153
2025-10-01 01:34:32,007 - DEBUG - [GS2] A | iter=28 | order=['missing_value', 'normalization', 'model'] | vec=[7, 4, 1] | utility=0.199077
2025-10-01 01:34:32,573 - DEBUG - [GS2] A | iter=29 | order=['normalization', 'missing_value', 'model'] | vec=[1, 2, 1] | utility=0.117603
2025-10-01 01:34:32,872 - DEBUG - [GS2] A | iter=30 | order=['missing_value', 'normalization', 'model'] | vec=[2, 2, 1] | utility=0.196330
2025-10-01 01:34:33,236 - DEBUG - [GS2] A | iter=31 | order=['normalization', 'missing_value', 'model'] | vec=[5, 5, 1] | utility=0.200992
2025-10-01 01:34:33,579 - DEBUG - [GS2] A | iter=32 | order=['missing_value', 'model'] | vec=[3, 1] | utility=0.097682
2025-10-01 01:34:33,887 - DEBUG - [GS2] A | iter=33 | order=['normalization', 'missing_value', 'model'] | vec=[2, 3, 1] | utility=0.194028
2025-10-01 01:34:34,277 - DEBUG - [GS2] A | iter=34 | order=['missing_value', 'normalization', 'model'] | vec=[4, 5, 1] | utility=0.198046
2025-10-01 01:34:34,863 - DEBUG - [GS2] A | iter=35 | order=['missing_value', 'normalization', 'model'] | vec=[6, 1, 1] | utility=0.102937
2025-10-01 01:34:35,308 - DEBUG - [GS2] A | iter=36 | order=['model'] | vec=[1] | utility=0.112935
2025-10-01 01:34:35,799 - DEBUG - [GS2] A | iter=37 | order=['normalization', 'missing_value', 'model'] | vec=[4, 6, 1] | utility=0.203844
2025-10-01 01:34:36,395 - DEBUG - [GS2] A | iter=38 | order=['missing_value', 'normalization', 'model'] | vec=[8, 1, 1] | utility=0.106759
