2025-10-02 08:28:55,340 - INFO - pipeline[1. 1. 1.]
2025-10-02 08:28:55,341 - INFO - [GS2] Start. Target utility = 162.000000
2025-10-02 08:28:55,341 - INFO - [GS2] Building candidates from ('missing_value', 'normalization', 'model')
2025-10-02 08:28:55,341 - INFO - [GS2] candidates: 105
2025-10-02 09:17:42,229 - DEBUG - [GS2] A | iter=34 | order=['normalization', 'missing_value', 'model'] | vec=[3, 7, 1] | utility=186.883755
2025-10-02 09:17:42,471 - DEBUG - [GS2] A | iter=35 | order=['normalization', 'missing_value', 'model'] | vec=[5, 7, 1] | utility=186.781522
2025-10-02 09:17:42,611 - DEBUG - [GS2] A | iter=36 | order=['normalization', 'missing_value', 'model'] | vec=[2, 5, 1] | utility=187.428954
2025-10-02 09:17:42,720 - DEBUG - [GS2] A | iter=37 | order=['missing_value', 'normalization', 'model'] | vec=[8, 2, 1] | utility=187.067814
2025-10-02 09:17:43,042 - DEBUG - [GS2] A | iter=38 | order=['missing_value', 'normalization', 'model'] | vec=[7, 4, 1] | utility=186.977810
2025-10-02 09:17:43,155 - DEBUG - [GS2] A | iter=39 | order=['missing_value', 'normalization', 'model'] | vec=[5, 4, 1] | utility=186.982021
2025-10-02 09:17:43,188 - DEBUG - [GS2] A | iter=40 | order=['missing_value', 'model'] | vec=[8, 1] | utility=187.067814
2025-10-02 09:17:43,297 - DEBUG - [GS2] A | iter=41 | order=['missing_value', 'normalization', 'model'] | vec=[2, 5, 1] | utility=187.110868
2025-10-02 09:17:43,404 - DEBUG - [GS2] A | iter=42 | order=['missing_value', 'normalization', 'model'] | vec=[3, 5, 1] | utility=187.097480
2025-10-02 09:17:43,556 - DEBUG - [GS2] A | iter=43 | order=['normalization', 'missing_value', 'model'] | vec=[4, 5, 1] | utility=187.439789
2025-10-02 09:17:43,570 - DEBUG - [GS2] A | iter=44 | order=['missing_value', 'model'] | vec=[1, 1] | utility=189.323861
2025-10-02 09:17:43,669 - DEBUG - [GS2] A | iter=45 | order=['normalization', 'missing_value', 'model'] | vec=[1, 6, 1] | utility=186.966237
2025-10-02 09:17:43,780 - DEBUG - [GS2] A | iter=46 | order=['normalization', 'missing_value', 'model'] | vec=[5, 6, 1] | utility=186.756838
2025-10-02 09:17:43,884 - DEBUG - [GS2] A | iter=47 | order=['normalization', 'missing_value', 'model'] | vec=[1, 3, 1] | utility=187.097480
2025-10-02 09:17:43,996 - DEBUG - [GS2] A | iter=48 | order=['missing_value', 'normalization', 'model'] | vec=[6, 5, 1] | utility=186.966237
2025-10-02 09:17:44,150 - DEBUG - [GS2] A | iter=49 | order=['normalization', 'missing_value', 'model'] | vec=[3, 9, 1] | utility=186.851085
2025-10-02 09:17:44,320 - DEBUG - [GS2] A | iter=50 | order=['normalization', 'missing_value', 'model'] | vec=[4, 2, 1] | utility=187.110868
2025-10-02 09:17:44,482 - DEBUG - [GS2] A | iter=51 | order=['normalization', 'missing_value', 'model'] | vec=[2, 9, 1] | utility=186.791564
2025-10-02 09:17:44,784 - DEBUG - [GS2] A | iter=52 | order=['missing_value', 'normalization', 'model'] | vec=[1, 1, 1] | utility=189.323861
